Workload, Background, TargetDuration, Repetition, duration (ns), Core 3 cpu cycles, Core 3 instructions, Core 3 branch instructions, Core 3 branch misses, Core 3 L1 i-cache loads, Core 3 L1 i-cache misses, Core 3 L1 d-cache loads, Core 3 L1 d-cache misses, L3 cache loads, L3 cache misses, Core 0 cpu cycles, Core 0 instructions, Core 0 L1 i-cache misses, Core 0 L1 d-cache misses, Core 1 cpu cycles, Core 1 instructions, Core 1 L1 i-cache misses, Core 1 L1 d-cache misses, Core 2 cpu cycles, Core 2 instructions, Core 2 L1 i-cache misses, Core 2 L1 d-cache misses,
ackermann, system-noise, 7, 2, 7136475911, 16844711515, 25695542949, 7680541352, 13146241, 85733307, 2979797, 5199128456, 452884172, 3367688, 1906390, 577922859, 352169120, 3281770, 7616334, 361272009, 165433613, 2637100, 3291539, 346043107, 175973729, 2501933, 3052786, 
ackermann, system-noise, 7, 3, 7099791334, 16175739482, 25691623486, 7683221012, 13022956, 86353512, 3055803, 5194276305, 433535637, 3495635, 1911229, 533269867, 313011829, 3704526, 7205662, 365298942, 154861152, 2638490, 3162483, 346812119, 185851662, 2497042, 3451091, 
ackermann, system-noise, 7, 4, 7126354808, 16738169951, 25695933890, 7684960794, 13154674, 86628664, 3026350, 5199326602, 442798728, 4234441, 2374552, 581647658, 360513179, 3791585, 8122532, 361678359, 163699627, 2618553, 3318262, 347001577, 174296383, 2500691, 3217773, 
ackermann, system-noise, 7, 5, 7061160709, 15087213746, 25690636448, 7685672191, 13362165, 83805704, 3048136, 5193460720, 415711889, 4282454, 2344818, 599635848, 377795034, 3866544, 8024544, 340923165, 187677354, 2469085, 3317183, 351650596, 173567550, 2536551, 3289477, 
ackermann, system-noise, 7, 6, 7118117629, 16639980082, 25678797188, 7683520285, 13134592, 87266495, 3039925, 5202191686, 440946088, 4017694, 2326011, 634928461, 377341948, 3545313, 8706350, 348205635, 183600480, 2496779, 3324703, 349547087, 183568333, 2501563, 3143598, 
ackermann, system-noise, 8, 1, 8120477229, 19327305011, 29288199882, 8762947094, 14709660, 96598235, 3445616, 5931163166, 508487048, 4160660, 2319064, 639261672, 414595298, 3697267, 8456642, 401656917, 203262615, 2853014, 3754464, 403734706, 203289086, 2872584, 3822327, 
ackermann, system-noise, 8, 2, 8076782295, 18286143674, 29284297589, 8760194979, 14574730, 95533586, 3381431, 5923319447, 491752969, 3628435, 1970287, 582938931, 344698042, 4006624, 7487992, 416933441, 177381163, 2966176, 3668884, 397008032, 208160878, 2855214, 3740227, 
ackermann, system-noise, 8, 3, 8078294005, 18012950812, 29287460441, 8765354226, 15149399, 96417890, 3385905, 5921780465, 488372913, 3450010, 1901331, 594550607, 355943080, 3713012, 7672240, 389836618, 193157603, 2862737, 3233283, 397530092, 208802538, 2865778, 3853333, 
ackermann, system-noise, 8, 4, 8090822589, 18537018851, 29285254143, 8756518724, 14879024, 95910295, 3359692, 5926853915, 495998052, 4304677, 2361807, 603724330, 385141399, 4206785, 8322064, 412821472, 181034999, 2978861, 3742924, 395475487, 211821459, 2845197, 3879123, 
ackermann, system-noise, 8, 5, 8037867452, 16838910363, 29261609717, 8762918767, 15552657, 94855258, 3440411, 5919845435, 468458277, 3674599, 2012402, 632235479, 367426984, 3780244, 8076295, 392628209, 208943270, 2831432, 3510957, 402541421, 190178443, 2953154, 3743196, 
ackermann, system-noise, 8, 6, 8131237699, 19286555863, 29273410669, 8754491672, 14579351, 98137411, 3387186, 5931122513, 507677974, 3560495, 1936783, 596418876, 360983142, 3843092, 8038931, 402387186, 202581352, 2878827, 3581079, 404448207, 202678102, 2870440, 3741905, 
ackermann, system-noise, 9, 1, 9072711941, 20351521101, 32866283108, 9833934359, 16609100, 104786520, 3744366, 6649706446, 548897179, 4430665, 2372646, 693624907, 419121592, 4466178, 9041853, 439744533, 218649644, 3210479, 3709589, 445421673, 234326948, 3216702, 4261863, 
ackermann, system-noise, 9, 2, 9127883584, 19013546708, 33316091855, 9971187530, 17738914, 104162509, 3771533, 6739616599, 531700440, 3418477, 1897490, 659953005, 402096770, 3962351, 8731520, 445832882, 230892281, 3258140, 4094880, 460820712, 212271352, 3339439, 4300068, 
ackermann, system-noise, 9, 3, 9129292572, 18995758679, 33327439365, 9968002527, 17491249, 104189987, 3884878, 6734854066, 531077766, 3651278, 1956362, 672618892, 395386818, 4158266, 9040016, 448038298, 230642446, 3225039, 4119053, 461010739, 211681087, 3314737, 4274062, 
ackermann, system-noise, 9, 4, 9117628300, 18575454426, 33295504402, 9969368718, 17864383, 104947977, 3847704, 6734665858, 523842119, 4153908, 2303320, 721439916, 433309953, 4376950, 9644655, 453134861, 224038875, 3213965, 3990855, 464948314, 205167233, 3330396, 4273638, 
ackermann, system-noise, 9, 5, 9129033933, 18919893434, 33312219335, 9969415048, 17698202, 104387369, 3829959, 6736293257, 529302594, 3524092, 1952714, 722574462, 454545366, 4073780, 8697683, 446402542, 229545423, 3224685, 4090367, 461777122, 210638627, 3313749, 4286500, 
ackermann, system-noise, 9, 6, 9079569729, 20563664826, 32868572162, 9832927683, 16835840, 107231933, 3756934, 6654523029, 552303681, 4559248, 2375174, 703864651, 412180824, 4514127, 8684736, 437332865, 222396612, 3214635, 3406322, 443735511, 237864885, 3181814, 4078960, 
ackermann, system-noise, 10, 1, 10103224640, 23767111514, 36490123710, 10922725208, 18016232, 119264300, 4219892, 7382454986, 629037045, 4268655, 2319641, 787233133, 461474530, 4484846, 10141594, 492661455, 262217817, 3635973, 4549936, 495706643, 262537773, 3565537, 4699893, 
ackermann, system-noise, 10, 2, 10120806669, 24361764466, 36467043127, 10918529803, 17565878, 119094574, 4140183, 7388271063, 638960200, 4338252, 2322600, 796289515, 471405904, 4704414, 9838435, 501965899, 250916140, 3638390, 4684651, 488707761, 261741738, 3572773, 4663280, 
