Workload, Background, TargetDuration, Repetition, duration (ns), Core 3 cpu cycles, Core 3 instructions, Core 3 branch instructions, Core 3 branch misses, Core 3 L1 i-cache loads, Core 3 L1 i-cache misses, Core 3 L1 d-cache loads, Core 3 L1 d-cache misses, L3 cache loads, L3 cache misses, Core 0 cpu cycles, Core 0 instructions, Core 0 L1 i-cache misses, Core 0 L1 d-cache misses, Core 1 cpu cycles, Core 1 instructions, Core 1 L1 i-cache misses, Core 1 L1 d-cache misses, Core 2 cpu cycles, Core 2 instructions, Core 2 L1 i-cache misses, Core 2 L1 d-cache misses, 
branch, system-noise, 12, 6, 12020297512, 28199195253, 9616703022, 862572460, 266823260, 7336342058, 9638992, 9485514621, 7702660, 9435766, 3950037, 1092410293, 575593178, 7950146, 12861248, 596018727, 286214037, 4314300, 4965811, 579588033, 318456083, 4157169, 5808541, 
branch, system-noise, 13, 1, 13020408341, 30922873708, 10463892604, 938311800, 290387551, 8016136714, 10195487, 10389986925, 8412092, 4916710, 2492780, 978410196, 569163076, 5699566, 11366263, 628810703, 341734918, 4495859, 6018608, 633797532, 343367150, 4506873, 6329917, 
branch, system-noise, 13, 2, 13020426238, 31155355880, 10413843719, 934531220, 288915581, 7905579312, 10300512, 10280010326, 8141544, 4796570, 2538931, 970128193, 576973506, 5800709, 11904356, 625177927, 345248712, 4525433, 5806291, 630863983, 346345322, 4554368, 5963387, 
branch, system-noise, 13, 3, 13020225478, 31269982828, 10418322088, 934658905, 289050643, 7893417399, 10137590, 10265306616, 8629181, 4725362, 2369562, 957662987, 555134188, 5851916, 11734290, 630086986, 335089213, 4517133, 5984693, 636350872, 336712938, 4569743, 6260222, 
branch, system-noise, 13, 4, 13020356727, 30943289415, 10415212040, 934032696, 289191003, 7924188640, 10573208, 10270609124, 8624785, 4807957, 2452616, 936065321, 539019187, 5817913, 10992472, 635472465, 314950070, 4566555, 5636624, 624540503, 328601702, 4440756, 5872039, 
branch, system-noise, 13, 5, 13020412152, 28708863638, 10450557550, 935305566, 290267703, 8045276815, 10630306, 10313303541, 8394629, 4425919, 2322380, 947335875, 561480624, 5466954, 11980299, 629139213, 339651760, 4578968, 5813839, 632470597, 334826373, 4601807, 6056705, 
branch, system-noise, 13, 6, 13020568108, 30886624411, 10405945821, 932846824, 288522847, 7914259185, 10300438, 10257642333, 8355642, 4584100, 2370998, 911465847, 537683916, 5772967, 11598761, 634254639, 328882840, 4565785, 5670376, 638781557, 330289441, 4540821, 6216206, 
branch, system-noise, 14, 1, 14020428892, 33338437483, 11267523446, 1009920363, 312619919, 8626216965, 10889186, 11174731732, 8939450, 4517580, 2350173, 974292569, 566581750, 5918036, 12478671, 680039266, 355260189, 4849928, 6389867, 688343849, 357184446, 4968588, 6869761, 
branch, system-noise, 14, 2, 14020513590, 33424557059, 11255308658, 1008930802, 312230875, 8619536650, 10956481, 11191655623, 9462922, 4665467, 2376071, 1006222929, 576032032, 5985309, 12204599, 683369450, 358801222, 4941520, 6447043, 688790506, 359940586, 4905788, 6750518, 
branch, system-noise, 14, 3, 14020449111, 33433939976, 11208227971, 1005508657, 311089132, 8520275640, 11303279, 11047615084, 9461984, 4602847, 2378281, 1028522313, 616236728, 6049641, 12354372, 688122204, 348589464, 4902398, 6314363, 679821120, 360893877, 4897616, 6474350, 
